symbol,industry,sector,averageDailyVolume10Day,averageDailyVolume3Month,fiftyDayAverageChangePercent,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,longName,regularMarketChangePercent,regularMarketDayHigh,regularMarketDayLow,regularMarketOpen,regularMarketPreviousClose,regularMarketPrice,regularMarketTime,regularMarketVolume,twoHundredDayAverageChangePercent,ytdReturn,expireDate,expireIsoDate,openInterest,marketCap,quoteType,beta,enterpriseValue,pegRatio,enterpriseToEbitda,52WeekChange,SandP52WeekChange,shortPercentOfFloat,netIncomeToCommon,52wkAbsRange
CVLT,Software - Application,Technology,665.5,397.6,0.10989893,-0.06730901,0.40144786,48.35 - 72.65,"Commvault Systems, Inc.",-0.7906308000000001,67.88,67.13,67.62,68.3,67.76,1549573201.0,209164.0,0.08242310000000001,,,,,3.1,EQUITY,0.794782,2676795904.0,3.75,59.54,0.37286437,0.058353424,0.0257,4063000.0,0.46875687
CVS,Health Care Plans,Healthcare,8894.4,10052.8,0.0028008192,-0.19963484,0.09328235,60.14 - 82.15,CVS Health Corporation,-0.42404783,66.13,64.98,65.97,66.03,65.75,1549573199.0,5460401.0,-0.09178175,,,,,85.0,EQUITY,1.298318,88303132672.0,0.76,6.974,-0.06406808,0.058353424,0.0105,3097999872.0,0.29291719
CYBR,Software - Infrastructure,Technology,1042.8,727.4,0.12093094,-0.04221318,1.0720078000000002,41.94 - 90.73,CyberArk Software Ltd.,-1.1826254999999999,87.22,83.01,86.71,87.94,86.9,1549573197.0,650993.0,0.19191141,,,,,3.1,EQUITY,0.9963709999999999,2214791168.0,1.37,53.312,1.0819128,0.058353424,0.0174,26444000.0,1.1142209800000002
DATA,Software - Application,Technology,1534.6,1237.2,-0.0053566108,-0.0912218,0.6563097,73.38 - 133.74,"Tableau Software, Inc.",-1.9680613,123.95,119.81,123.1,123.98,121.54,1549573196.0,1221878.0,0.0780585,,,,,10.2,EQUITY,1.195227,10154419200.0,-3.48,-110.694,0.6281024,0.058353424,0.0971,-121713000.0,0.7475315
DBX,Software - Infrastructure,Technology,2509.1,3205.0,0.107010946,-0.43011492,0.34000006,18.5 - 43.5,"Dropbox, Inc.",-1.7828798,25.21,24.41,25.1,25.24,24.79,1549573199.0,1415929.0,-0.0017274735999999998,,,,,10.1,EQUITY,,9371493376.0,3.55,-26.413,Infinity,0.058353424,,-513100000.0,0.77011498
DDD,Computer Systems,Technology,1702.7,1495.6,0.12944545,-0.42470159999999996,0.3922222,9.0 - 21.78,3D Systems Corporation,-3.2432437000000003,12.78,12.2025,12.75,12.95,12.53,1549573193.0,1133730.0,-0.15264823,,,,,1.4,EQUITY,2.593603,1374028544.0,9.26,72.294,0.31873727,0.058353424,0.2323,-51503000.0,0.8169238
DECK,Footwear & Accessories,Consumer Cyclical,1076.4,701.0,0.12455123,-0.04234174,0.63943595,85.81 - 146.9,Deckers Outdoor Corporation,-0.4458318,142.92,138.8,140.36,141.31,140.68,1549573198.0,655079.0,0.16675779,,,,,4.1,EQUITY,0.417508,3635893760.0,1.98,10.439,0.558337,0.058353424,0.12079999599999999,260954000.0,0.68177769
DGX,Diagnostics & Research,Healthcare,955.6,1286.1,0.061562285,-0.22971925,0.1365422,78.95 - 116.49,Quest Diagnostics Incorporated,2.3613958,89.73,88.01,87.98,87.66,89.73,1549573197.0,1144527.0,-0.080464624,,,,,12.2,EQUITY,1.050122,15595948032.0,1.94,9.908,-0.09085244,0.058353424,0.0349,860000000.0,0.36626145
DHR,Diagnostics & Research,Healthcare,2603.9,2665.4,0.042290192000000004,-0.022772267000000002,0.18216468,91.84 - 111.1,Danaher Corporation,-0.99398494,109.7,107.83,108.87,109.66,108.57,1549573199.0,1321935.0,0.049357258,,,,,76.2,EQUITY,0.9028709999999999,85786066944.0,2.77,18.208,0.18988717,0.058353424,0.0098,2650899968.0,0.204936947
DIA,,,3610.0,5162.1,0.050834235,-0.06446821,0.16108216,216.97 - 269.28,SPDR Dow Jones Industrial Average ETF,-0.7681085,253.34,250.18,252.4,253.87,251.92,1549573199.0,3868980.0,0.0013722156,7.27,,,,20.7,ETF,,,,,,,,,0.22555037
DLB,Media - Diversified,Consumer Cyclical,553.6,397.6,0.023025987999999997,-0.109229736,0.10331789999999999,58.17 - 72.05,"Dolby Laboratories, Inc.",-1.3374369,64.55,63.54,64.68,65.05,64.18,1549573195.0,418406.0,-0.040920325,,,,,6.6,EQUITY,0.837417,5713435136.0,1.62,16.053,0.08452821,0.058353424,0.0105,273767008.0,0.21254763599999998
DLPH,Auto Parts,Consumer Cyclical,978.9,1553.4,0.112591535,-0.67049456,0.34977242,13.18 - 53.99,Delphi Technologies PLC,-5.0186796,18.56,17.33,18.49,18.73,17.79,1549573195.0,1111493.0,-0.30694547,,,,,1.6,EQUITY,,3016454400.0,-2.64,3.8819999999999997,-0.63932216,0.058353424,,279000000.0,1.02026698
DMLRY,Auto Manufacturers,Consumer Cyclical,231.8,529.0,0.0034702606,-0.3848179,0.11005545,12.63 - 22.79,Daimler AG,-4.560919999999999,14.17,13.9,14.17,14.69,14.02,1549571905.0,178775.0,-0.06962523,,,,,60.1,EQUITY,1.369,64230793216.0,,,-0.31129867,0.058353424,,,0.49487335
DORM,Auto Parts,Consumer Cyclical,198.6,224.3,-0.04516441,-0.12856847,0.50567776,56.36 - 97.38,"Dorman Products, Inc.",-0.8992136999999999,85.32,83.99,85.04,85.63,84.86,1549573201.0,175945.0,0.047880054000000005,,,,,2.8,EQUITY,1.052834,2768418304.0,1.45,13.695,0.1936158,0.058353424,0.1129,120970000.0,0.63424623
DOX,Software - Infrastructure,Technology,1669.0,1215.8,-0.025648873,-0.21528168,0.06996199,52.6 - 71.72,Amdocs Limited,2.0119643,56.52,54.505,54.57,55.17,56.28,1549573201.0,2529389.0,-0.10421627,,,,,7.9,EQUITY,0.643291,7224331776.0,1.87,9.97,-0.13513094,0.058353424,0.0217,354396000.0,0.28524367
DSW,Apparel Stores,Consumer Cyclical,1000.9,1719.1,0.01067768,-0.24545197,0.40408373,18.61 - 34.63,DSW Inc.,-1.5448445,26.5,25.82,26.27,26.54,26.13,1549573199.0,580407.0,-0.060417282999999995,,,,,2.1,EQUITY,1.105591,1838204160.0,2.17,6.513999999999999,0.4124534,0.058353424,0.097799994,37064000.0,0.6495356999999999
DVA,Medical Care,Healthcare,1515.1,1789.8,0.04648913,-0.27897865,0.18217619,48.25 - 79.11,DaVita Inc.,1.5850389,57.4,56.04,56.09,56.15,57.04,1549573194.0,1631768.0,-0.121565424,,,,,9.5,EQUITY,1.6623599999999998,20477917184.0,0.78,9.366,-0.21916288,0.058353424,0.030299998999999998,616803968.0,0.46115483999999995
DXCM,Diagnostics & Research,Healthcare,863.8,1550.1,0.07780169999999999,-0.057174638,1.7203327000000002,52.92 - 152.69,"DexCom, Inc.",-0.8266719000000001,145.77,142.2,144.31,145.16,143.96,1549573201.0,667021.0,0.10239884,,,,,12.8,EQUITY,0.936839,12574045184.0,-9.36,838.27,1.6625092,0.058353424,0.0766,43200000.0,1.7775073380000002
EA,Electronic Gaming & Multimedia,Technology,8403.9,5009.3,-0.022227405,-0.4440037,0.13787031,73.91 - 151.26,Electronic Arts Inc.,4.849768599999999,85.59,79.9,79.9,80.21,84.1,1549573201.0,11020670.0,-0.18011503,,,,,25.4,EQUITY,1.231449,20681742336.0,1.53,14.382,-0.3117385,0.058353424,0.0291,969000000.0,0.5818740099999999
EBAY,Specialty Retail,Consumer Cyclical,19744.3,14502.2,0.14254704,-0.20536521,0.35524797,26.01 - 44.36,eBay Inc.,-0.6482513000000001,35.39,34.82,35.22,35.48,35.25,1549573201.0,8300120.0,0.11920206,,,,,32.2,EQUITY,1.1832049999999998,36785958912.0,1.52,12.245999999999999,-0.13505608,0.058353424,0.030299998999999998,2528000000.0,0.56061318
EBS,Biotechnology,Healthcare,289.4,403.9,0.013421508,-0.16483963,0.44621518,42.67 - 73.89,Emergent BioSolutions Inc.,-3.7585832999999997,64.395,61.58,63.68,64.12,61.71,1549573185.0,200180.0,-0.00983196,,,,,3.1,EQUITY,1.752509,2916789760.0,1.77,15.804,0.42425597,0.058353424,0.0623,100123000.0,0.61105481
EDIT,Biotechnology,Healthcare,774.5,948.5,-0.14672962,-0.56841403,0.0915731,17.8 - 45.02,"Editas Medicine, Inc.",-7.914692,21.18,19.0,20.95,21.1,19.43,1549573201.0,1516905.0,-0.30271855,,,,,0.9,EQUITY,2.5540000000000003,699259200.0,,-5.787000000000001,-0.3659855,0.058353424,0.1155,-121088000.0,0.65998713
EDU,Education & Training Services,Consumer Defensive,1527.4,1771.2,0.19629839999999998,-0.2899113,0.5280318,50.3 - 108.24,New Oriental Education & Technology Group Inc.,-2.251045,77.94,76.18,77.57,78.63,76.86,1549573196.0,692953.0,0.14030792,,,,,12.2,EQUITY,0.721929,10067555328.0,1.85,30.052,-0.05001813,0.058353424,,230864000.0,0.8179431
EEM,,,80154.9,92875.8,0.043355733,-0.15464333,0.12879181,37.58 - 50.18,iShares MSCI Emerging Markets ETF,-0.9572814000000001,42.7,42.03,42.49,42.83,42.42,1549573199.0,95648374.0,0.025793947,8.71,,,,33.7,ETF,,,,,,,,,0.28343514000000003
ELLI,Software - Application,Technology,823.6,593.4,0.20976888,-0.28656970000000004,0.42588475,58.49 - 116.9,"Ellie Mae, Inc.",0.9318700999999999,83.4,80.925,82.02,82.63,83.4,1549573199.0,525594.0,0.016160828999999998,,,,,2.9,EQUITY,0.698613,2600087296.0,3.35,38.281,-0.053059876,0.058353424,0.25030002,32400000.0,0.7124544500000001
EMB,,,6529.6,4774.1,0.02206497,-0.044936847,0.059030822999999996,102.15 - 113.27,iShares JP Morgan USD Em Mkts Bd ETF,-0.18453307,108.29,108.0,108.18,108.38,108.18,1549573201.0,3409867.0,0.021747325,4.76,,,,,ETF,,,,,,,,,0.10396767
EMQQ,,,75.6,147.8,0.043238476,-0.30974475,0.14864866,25.9 - 43.1,EMQQ Emerging Markets Intrnt & Ecmrc ETF,-2.7141922000000003,30.26,29.5379,30.21,30.58,29.75,1549573172.0,126552.0,-0.018014376999999998,13.05,,,,,ETF,,,,,,,,,0.45839341
ETSY,Specialty Retail,Consumer Cyclical,3243.7,2837.6,-0.00032924511,-0.14938928,1.9462551,17.49 - 60.58,"Etsy, Inc.",-2.0155950000000002,52.0,50.14,51.81,52.59,51.53,1549573201.0,2258835.0,0.07123553,,,,,6.2,EQUITY,0.515188,5849568768.0,7.33,68.133,1.9661591,0.058353424,0.0705,80930000.0,2.09564438
EW,Medical Devices,Healthcare,1278.2,1337.3,0.07591584,-0.027485700000000002,0.40189457,121.4 - 175.0,Edwards Lifesciences Corporation,-0.22863136,170.97,168.175,169.37,170.58,170.19,1549573198.0,748787.0,0.121930815,,,,,35.6,EQUITY,0.8216709999999999,35037192192.0,2.44,30.484,0.37809014,0.058353424,0.0173,722200000.0,0.42938027
EXEL,Biotechnology,Healthcare,3504.8,4115.9,-0.024327036,-0.29828045,0.581222,13.42 - 30.24,"Exelixis, Inc.",-6.106199299999999,22.44,21.1,22.44,22.6,21.22,1549573201.0,5566881.0,0.10873172,,,,,6.3,EQUITY,2.4277849999999996,6191195648.0,0.38,16.798,-0.18115944,0.058353424,0.059499998,368471008.0,0.8795024499999999
EXPE,Leisure,Consumer Cyclical,1430.2,1470.8,0.10068003,-0.08513988,0.29790914,98.52 - 139.77,"Expedia Group, Inc.",-0.007815535,128.41,126.28,127.18,127.88,127.87,1549573201.0,2377281.0,0.037793554,,,,,19.0,EQUITY,0.8915709999999999,20711063552.0,1.31,16.145,0.03942132,0.058353424,0.0791,443964000.0,0.38304902
F,Auto Manufacturers,Consumer Cyclical,32959.8,44607.5,-0.012011703,-0.3168724,0.12010801,7.41 - 12.15,Ford Motor Company,-4.816514499999999,8.62,8.29,8.62,8.72,8.3,1549573199.0,49607649.0,-0.09171647,,,,,33.0,EQUITY,0.673816,166932250624.0,1.85,14.412,-0.16395015,0.058353424,0.0234,3676999936.0,0.43698041
FB,Internet Content & Information,Technology,30206.4,25938.1,0.14885761,-0.2389534,0.3524631,123.02 - 218.62,"Facebook, Inc.",-2.410699,169.24,165.25,168.2,170.49,166.38,1549573201.0,16708876.0,0.06586167,,,,,474.8,EQUITY,0.651788,447874891776.0,1.14,15.323,-0.0063527226,0.058353424,0.0113,22111000576.0,0.5914165
FFIV,Software - Infrastructure,Technology,552.9,729.0,-0.0030190171999999998,-0.20029041,0.19284493,133.89 - 199.71,"F5 Networks, Inc.",-2.5920956000000004,162.86,158.7,162.67,163.96,159.71,1549573201.0,296704.0,-0.08436328,,,,,9.5,EQUITY,0.9599620000000001,8521270784.0,2.07,12.597000000000001,0.19460845,0.058353424,,496164992.0,0.39313534
FIVE,Specialty Retail,Consumer Cyclical,654.9,1129.3,0.10496752,-0.07243082,1.0751027,60.85 - 136.13,"Five Below, Inc.",0.35765135,126.38,123.69,124.63,125.82,126.27,1549573201.0,539484.0,0.11217979,,,,,7.0,EQUITY,0.5274300000000001,6906032640.0,1.63,32.349000000000004,1.012476,0.058353424,0.0804,127760000.0,1.14753352
FIVN,Software - Infrastructure,Technology,749.0,676.4,0.12645529,-0.02873237,1.145168,24.11 - 53.25,"Five9, Inc.",0.2519889,51.815,50.3513,51.03,51.59,51.72,1549573201.0,490957.0,0.21738233,,,,,3.0,EQUITY,0.9632229999999999,2998619392.0,0.82,276.906,1.1126127,0.058353424,0.074200004,-4585000.0,1.17390037
FL,Footwear & Accessories,Consumer Cyclical,1838.9,2813.1,0.03245344,-0.04764313,0.48205402,38.17 - 59.4,"Foot Locker, Inc.",-0.17645752,57.01,55.73,56.3,56.67,56.57,1549573199.0,1295325.0,0.11331583,,,,,6.4,EQUITY,1.019226,5773487616.0,1.18,6.4510000000000005,0.23517871,0.058353424,0.11310001,334000000.0,0.5296971500000001
FLIR,Scientific & Technical Instruments,Technology,978.2,1115.5,0.104982756,-0.22354418,0.22408682,40.52 - 63.88,"FLIR Systems, Inc.",-0.34157519999999997,49.8,49.12,49.46,49.77,49.6,1549573201.0,478423.0,-0.05732074400000001,,,,,6.9,EQUITY,1.3184129999999998,6694240256.0,0.97,16.279,0.07124412,0.058353424,0.0195,133619000.0,0.447631
FTNT,Software - Application,Technology,2196.5,2171.6,0.09712443,-0.15905479999999997,0.78457385,44.47 - 94.37,"Fortinet, Inc.",-2.2900772000000003,81.075,76.36,81.0,81.22,79.36,1549573201.0,4693295.0,0.032842137,,,,,13.5,EQUITY,1.133091,12331045888.0,1.56,50.286,0.8251686,0.058353424,0.0762,120599000.0,0.94362865
FXI,,,29328.1,35313.0,0.04523318,-0.15766487,0.12073976,37.85 - 50.36,iShares China Large-Cap ETF,-1.072768,42.86,41.965,42.61,42.88,42.42,1549573200.0,30101677.0,0.029151818,8.13,,,,6.1,ETF,,,,,,,,,0.27840463000000004
GILD,Biotechnology,Healthcare,7865.1,7833.7,0.005247541,-0.18792999,0.1153846,60.32 - 82.85,"Gilead Sciences, Inc.",-2.1381836,68.77,66.92,68.43,68.75,67.28,1549573201.0,5577291.0,-0.060031712,,,,,87.0,EQUITY,1.337684,88161501184.0,-1.71,8.386000000000001,-0.121068776,0.058353424,0.010299999,5455000064.0,0.30331459
GLW,Electronic Components,Technology,8119.0,5886.2,0.08997092,-0.09135667,0.27230948,26.11 - 36.56,Corning Incorporated,-1.6286622,33.89,33.05,33.48,33.77,33.22,1549573199.0,3868063.0,0.027818924,,,,,26.2,EQUITY,1.206653,32474400768.0,1.38,10.714,0.18699467,0.058353424,0.0175,968000000.0,0.36366615
GM,Auto Manufacturers,Consumer Cyclical,10802.2,11872.8,0.063024916,-0.14155553,0.26407075,30.56 - 45.0,General Motors Company,-3.2072132,39.41,38.35,39.23,39.91,38.63,1549573199.0,11724501.0,0.08563837,,,,,54.5,EQUITY,0.98603,141984169984.0,0.42,6.893,-0.020613492,0.058353424,0.0171,1092000000.0,0.40562628
GMED,Medical Devices,Healthcare,468.6,783.2,0.03798109,-0.23586379,0.1625888,38.01 - 57.83,"Globus Medical, Inc.",-0.6966323,44.69,44.01,44.19,44.5,44.19,1549573167.0,272690.0,-0.10921289,,,,,4.4,EQUITY,0.9118860000000001,5007785472.0,2.18,23.353,0.027713656,0.058353424,0.0466,144100000.0,0.39845259
GNTX,Auto Parts,Consumer Cyclical,2993.7,1981.6,-0.061116952,-0.21369539999999998,0.12247193599999999,17.8 - 25.41,Gentex Corporation,-3.8035672,20.62,19.91,20.58,20.77,19.98,1549573201.0,2755181.0,-0.08594996,,,,,5.2,EQUITY,1.259506,5031643136.0,0.91,8.171,-0.053327262,0.058353424,0.0375,437883104.0,0.336167336
GOOG,Internet Content & Information,Technology,1852.2,1780.7,0.031020897000000002,-0.13751584,0.13256226,970.11 - 1273.89,Alphabet Inc.,-1.4813106000000003,1104.32,1086.0,1104.16,1115.23,1098.71,1549573201.0,1783901.0,-0.020293841,,,,,766.4,EQUITY,1.157894,691972210688.0,1.59,17.117,0.11353743,0.058353424,,30735998976.0,0.2700781
GOVT,,,5037.3,3984.7,0.0039650835,-0.0055999756,0.03367989,24.05 - 25.0,iShares US Treasury Bond ETF,0.28237070000000003,24.87,24.82,24.83,24.79,24.86,1549573185.0,1295102.0,0.016259227,0.44,,,,,ETF,,,,,,,,,0.0392798656
GPC,Specialty Retail,Consumer Cyclical,1202.4,943.3,0.065147474,-0.028520131,0.19895104,85.8 - 105.89,Genuine Parts Company,0.33161414,103.32,101.63,102.46,102.53,102.87,1549573197.0,937288.0,0.041121326,,,,,15.1,EQUITY,0.963667,17659963392.0,1.36,12.876,0.06458318,0.058353424,0.027000000000000003,731958016.0,0.227471171
GPS,Apparel Stores,Consumer Cyclical,3221.6,4978.9,-0.018574145,-0.28176317,0.02804125,24.25 - 34.71,"The Gap, Inc.",0.97205245,24.955,24.49,24.55,24.69,24.93,1549573198.0,3260533.0,-0.09632389999999999,,,,,9.5,EQUITY,0.46602299999999997,9614768128.0,1.0,5.031000000000001,-0.20789218,0.058353424,0.115,932000000.0,0.30980442
GRMN,Scientific & Technical Instruments,Technology,1078.4,934.0,0.057861,-0.016814962,0.2204877,57.01 - 70.77,Garmin Ltd.,-0.27231592,69.59,69.04,69.05,69.77,69.58,1549573201.0,675195.0,0.058919900000000004,,,,,13.1,EQUITY,0.9754510000000001,11918564352.0,2.84,14.565999999999999,0.14133811,0.058353424,0.056399997,632428992.0,0.237302662
GRUB,Internet Content & Information,Technology,2340.0,2178.4,0.063839465,-0.44994608,0.23292819,66.63 - 149.349,GrubHub Inc.,-2.144128,83.87899999999999,66.63,71.11,83.95,82.15,1549573199.0,26827966.0,-0.22064233,,,,,7.5,EQUITY,1.1411149999999999,7229413888.0,1.71,38.58,-0.057165384,0.058353424,0.146,137156992.0,0.68287427
GSKY,Software - Infrastructure,Technology,727.7,1451.0,0.045713283,-0.6002221,0.3012048,8.3 - 27.015,"GreenSky, Inc.",-3.5714254,11.18,10.61,11.16,11.2,10.8,1549573201.0,1403551.0,-0.22841857,,,,,2.0,EQUITY,,694628864.0,0.83,3.9530000000000003,Infinity,0.058353424,0.17940001,22004000.0,0.9014268999999999
GWRE,Software - Infrastructure,Technology,548.7,671.4,0.10400213,-0.14695245,0.26810086,72.51 - 107.79,"Guidewire Software, Inc.",-1.1184009,92.99,91.12,92.0,92.99,91.95,1549573199.0,269166.0,0.01884971,,,,,7.5,EQUITY,1.2531809999999999,6765284864.0,4.42,97.09200000000001,0.23443508,0.058353424,0.0641,-5262000.0,0.41505331
HALO,Biotechnology,Healthcare,766.3,773.3,0.0533294,-0.24348229,0.22734141,13.24 - 21.48,"Halozyme Therapeutics, Inc.",-2.8690946,16.825,16.16,16.63,16.73,16.25,1549573201.0,378355.0,-0.015674585,,,,,2.3,EQUITY,2.497826,2222030592.0,-0.51,37.686,-0.019343495,0.058353424,0.044099998,45678000.0,0.47082369999999996
HCA,Medical Care,Healthcare,1713.8,1856.4,0.08637058,-0.04605883400000001,0.51166296,93.03 - 147.42,"HCA Healthcare, Inc.",0.42848396,140.96,138.97,139.54,140.03,140.63,1549573199.0,897927.0,0.06328624,,,,,48.4,EQUITY,1.2760120000000001,83654836224.0,0.87,9.378,0.4591018,0.058353424,0.0184,3787000064.0,0.557721794
HD,Home Improvement Stores,Consumer Cyclical,4110.6,5590.0,0.046510015,-0.14556926,0.16433685,158.09 - 215.43,"The Home Depot, Inc.",-0.35188064,184.9231,182.45,183.74,184.72,184.07,1549573196.0,2205278.0,-0.017952438,,,,,207.9,EQUITY,1.28262,232666365952.0,1.28,13.315999999999999,0.019313574,0.058353424,0.007099999599999999,10556000256.0,0.30990611
HOLX,Medical Instruments & Supplies,Healthcare,2475.9,2562.8,0.03243805,-0.044004400000000006,0.23789181,35.1 - 45.45,"Hologic, Inc.",-0.8669885,43.81,42.92,43.56,43.83,43.45,1549573201.0,1502806.0,0.05763787,,,,,12.7,EQUITY,0.9920889999999999,14658062336.0,2.16,14.343,0.12963927,0.058353424,0.0293,-419400000.0,0.28189621000000004
HPE,Communication Equipment,Technology,12768.6,11894.5,0.11343229,-0.18562263,0.31215355,12.087 - 19.475,Hewlett Packard Enterprise Company,-1.4294623,16.095,15.75,15.91,16.09,15.86,1549573198.0,5087839.0,0.031885136,,,,,22.2,EQUITY,1.538722,29521000448.0,-1.2,7.966,0.06981385,0.058353424,0.025999999,2012000000.0,0.49777618
HPQ,Computer Systems,Technology,7352.4,10388.9,0.07770703,-0.15620382,0.18886583,19.22 - 27.08,HP Inc.,-0.9536165000000001,23.015,22.69,22.92,23.07,22.85,1549573198.0,6082411.0,-0.02329558,,,,,35.5,EQUITY,1.667079,35552673792.0,1.32,7.324,0.15813255,0.058353424,0.0134000005,5327000064.0,0.34506965
HQY,Health Information Services,Technology,687.0,942.1,0.21758579,-0.28952554,0.5248901,47.328 - 101.58,"HealthEquity, Inc.",8.607978999999998,73.61,69.4527,69.83,66.45,72.17,1549573201.0,2310780.0,-0.09124423,,,,,4.5,EQUITY,1.946539,3725628416.0,1.85,42.418,0.30319655,0.058353424,0.1288,66685000.0,0.81441564
HRS,Communication Equipment,Technology,1602.4,1200.6,0.12509510000000001,-0.10299143,0.27738562,123.24 - 175.5,Harris Corporation,-0.13638438,158.13,155.92,156.08,157.64,157.425,1549573198.0,609900.0,0.025199505,,,,,18.5,EQUITY,1.025976,22069538816.0,1.04,14.529000000000002,0.052055597,0.058353424,0.0715,864000000.0,0.38037705
HSIC,Medical Distribution,Healthcare,1538.4,1499.1,0.027546972000000003,-0.1276409,0.27381715,62.56 - 91.35,"Henry Schein, Inc.",-1.3249129,80.85,79.185,80.39,80.76,79.69,1549573201.0,1576518.0,-0.02478127,,,,,12.1,EQUITY,0.923889,15074887680.0,2.57,13.628,0.13987303,0.058353424,0.100200005,394372992.0,0.40145805
HUBS,Software - Application,Technology,684.5,556.6,0.14054166,-0.034804682999999996,0.87134427,85.655 - 166.07,"HubSpot, Inc.",-2.60664,163.3,158.17,161.89,164.58,160.29,1549573197.0,377307.0,0.17149979999999998,,,,,6.3,EQUITY,1.595473,6209108992.0,2.41,-166.97400000000002,0.8440336,0.058353424,0.1191,-63871000.0,0.906148953
HUM,Health Care Plans,Healthcare,916.5,1126.6,0.051082,-0.14577949,0.16417108,261.13 - 355.88,Humana Inc.,0.738977,305.43,300.0,300.57,301.77,304.0,1549573197.0,806951.0,-0.040075086,,,,,41.7,EQUITY,1.186761,33157871616.0,1.3,9.343,0.15016961,0.058353424,,1512000000.0,0.30995057000000004
HUYA,Media - Diversified,Consumer Cyclical,2345.2,2465.6,0.015766902,-0.63006693,0.30193904,14.44 - 50.82,HUYA Inc.,-3.242414,19.54,18.45,19.26,19.43,18.8,1549573198.0,1963873.0,-0.15269685,,,,,3.8,EQUITY,,3959776768.0,,,Infinity,0.058353424,,,0.9320059700000001
HYG,,,23289.8,26900.9,0.019916931000000002,-0.021458243999999998,0.06624760000000002,79.55 - 86.68,iShares iBoxx $ High Yield Corp Bd ETF,-0.32902324,84.896,84.66,84.83,85.1,84.82,1549573198.0,26046064.0,0.0026463305,4.71,,,,,ETF,,,,,,,,,0.08770584400000002
ICE,Financial Exchanges,Financial Services,2651.6,2927.2,0.011250181000000001,-0.085783474,0.12910938,66.92 - 82.65,"Intercontinental Exchange, Inc.",-2.364649,76.35,74.28,76.34,77.39,75.56,1549573198.0,5153565.0,-0.004787447,,,,,43.0,EQUITY,0.365604,16087283712.0,1.55,5.391,0.1550746,0.058353424,0.008,2598000128.0,0.214892854
ICUI,Medical Instruments & Supplies,Healthcare,121.1,269.6,0.06482887,-0.22841159,0.17673272,210.94 - 321.7,"ICU Medical, Inc.",-1.3982698,251.91,246.79,249.51,251.74,248.22,1549573201.0,59611.0,-0.049115274,,,,,5.1,EQUITY,1.065965,4796973568.0,1.74,14.347999999999999,0.18076932,0.058353424,0.0298,85853000.0,0.40514431
IDXX,Diagnostics & Research,Healthcare,636.8,578.2,0.061055448,-0.19284210000000002,0.24061188,166.7 - 256.22,"IDEXX Laboratories, Inc.",-0.9672959999999999,207.38,204.31,207.27,208.83,206.81,1549573201.0,388255.0,-0.052306976,,,,,17.8,EQUITY,1.418778,18841874432.0,2.72,32.782,0.23363662,0.058353424,0.0161,377031008.0,0.43345398
IEF,,,5655.5,5416.0,0.0052661407,-0.008070627,0.048895612000000005,99.6 - 105.32,iShares 7-10 Year Treasury Bond ETF,0.32651877,104.55,104.348,104.42,104.13,104.47,1549573201.0,6933787.0,0.024117494,0.72,,,,11.6,ETF,,,,,,,,,0.056966239
IFNNY,Semiconductors,Technology,162.5,402.8,0.05796683,-0.26257545,0.22849163,17.9 - 29.82,Infineon Technologies AG,-2.0926063000000004,22.22,21.92,22.2,22.46,21.99,1549572317.0,229192.0,-0.0054763486,,,,,24.8,EQUITY,1.237444,24825358336.0,,,-0.13448948,0.058353424,,,0.49106708
IJH,,,1515.7,2108.4,0.06375154,-0.09792181,0.18715173,156.13 - 205.47,iShares Core S&P Mid-Cap ETF,-0.47252840000000007,185.91,183.78,185.23,186.23,185.35,1549573199.0,1355750.0,-0.016455673,10.46,,,,46.7,ETF,,,,,,,,,0.28507353999999996
IJR,,,3930.4,5399.6,0.055157527000000005,-0.15139134,0.18158053,65.04 - 90.56,iShares Core S&P Small-Cap ETF,-0.9026493,77.3892,76.24,77.06,77.55,76.85,1549573199.0,3313699.0,-0.04668975,10.6,,,,42.5,ETF,,,,,,,,,0.33297187
ILMN,Diagnostics & Research,Healthcare,1320.7,1095.0,-0.062393665,-0.25788358,0.32003054,209.48 - 372.61,"Illumina, Inc.",-2.6954759999999998,283.17,274.36,282.0,284.18,276.52,1549573201.0,780893.0,-0.14081632,,,,,40.6,EQUITY,1.958421,39980888064.0,2.37,43.176,0.3562088,0.058353424,0.020499998999999998,826000000.0,0.57791412
INCY,Biotechnology,Healthcare,1224.1,1626.8,0.09236008,-0.1712862,0.40052634,57.0 - 96.33,Incyte Corporation,-1.9528327,81.15,79.54,80.74,81.42,79.83,1549573201.0,1035314.0,0.16917998,,,,,17.0,EQUITY,1.2310809999999999,15972142080.0,1.5,-3189.9629999999997,-0.029790282,0.058353424,0.0361,-109199000.0,0.57181254
INTC,Semiconductors,Technology,29816.5,28119.1,0.036910526,-0.14531249,0.17102756,42.04 - 57.6,Intel Corporation,-1.3426893999999998,49.85,48.68,49.5,49.9,49.23,1549573201.0,26535210.0,0.037914168,,,,,221.4,EQUITY,0.762534,239603974144.0,1.02,7.4110000000000005,0.16725147,0.058353424,0.013200001000000001,21052999680.0,0.31634005
