,,,"EQY_FUND_CRNCY=USD,SCALING_FORMAT=BLN",,"SCALING_FORMAT=BLN,EQY_FUND_CRNCY=USD","SCALING_FORMAT=BLN,EQY_FUND_CRNCY=USD",,,,,,,BEST_FPERIOD_OVERRIDE=1GY,,,
ASB US Equity,USD,ASSOCIATED BANC-CORP,0.2,#N/A N/A,  4 ,  3 ,31.2,  2.37 ,  2.35 ,Financials,Banks,Banks,15.0,5%,  9 ,  988 
CVS US Equity,USD,CVS HEALTH CORP,4.3,2.5,  81 ,  25 ,36.5,  2.86 ,  1.12 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,24.0,168%,  9 ,  872 
HE US Equity,USD,HAWAIIAN ELECTRIC INDS,-0.2,0.7,  4 ,  0 ,13.7,  2.10 ,  2.45 ,Utilities,Electric Utilities,Utilities,6.0,21%,  9 ,  277 
ACHC US Equity,USD,ACADIA HEALTHCARE CO INC,0.1,5.5,  3 ,  3 ,82.6,  1.86 ,  0.64 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,16.0,47%,  9 ,  829 
CVBF US Equity,USD,CVB FINANCIAL CORP,0.1,#N/A N/A,  3 ,  0 ,28.5,  1.21 ,  3.15 ,Financials,Banks,Banks,8.0,4%,  9 ,  932 
GWB US Equity,USD,GREAT WESTERN BANCORP INC,0.2,#N/A N/A,  2 ,  0 ,34.6,  1.59 ,#VALUE!,Financials,Banks,Banks,9.0,5%,  9 ,  937 
OGS US Equity,USD,ONE GAS INC,0.0,3.2,  4 ,  2 ,21.8,  6.42 ,  4.56 ,Utilities,Gas Utilities,Utilities,6.0,32%,  9 ,  280 
BAC US Equity,USD,BANK OF AMERICA CORP,46.4,#N/A N/A,  274 ,  137 ,28.5,  0.79 ,  0.70 ,Financials,Banks,Banks,32.0,5%,  9 ,"  1,044 "
VNO US Equity,USD,VORNADO REALTY TRUST,-0.4,8.7,  13 ,  8 ,21.6,  (11.67),  0.15 ,Real Estate,Equity Real Estate Investment,Real Estate,15.0,13%,  9 ,  360 
ROG US Equity,USD,ROGERS CORP,0.0,0.6,  2 ,  (0),47.2,  0.84 ,  0.56 ,Information Technology,"Electronic Equipment, Instrume",Technology Hardware & Equipmen,4.0,74%,  9 ,  470 
NNN US Equity,USD,NATIONAL RETAIL PROPERTIES,-0.2,4.7,  8 ,  3 ,22.5,  (6.18),  (60.61),Real Estate,Equity Real Estate Investment,Real Estate,14.0,9%,  9 ,  355 
VALE US Equity,BRL,VALE SA-SP ADR,10.6,0.8,  79 ,  18 ,43.3,  0.44 ,  (1.75),Materials,Metals & Mining,Materials,27.0,38%,  9 ,  460 
NLSN US Equity,USD,NIELSEN HOLDINGS PLC,0.8,4.6,  9 ,  8 ,27.1,  2.68 ,  0.38 ,Industrials,Professional Services,Commercial & Professional Serv,17.0,40%,  9 ,  712 
BMS US Equity,USD,BEMIS COMPANY,0.2,4.7,  4 ,  1 ,18.1,  1.95 ,  1.76 ,Materials,Containers & Packaging,Materials,13.0,109%,  9 ,  425 
EE US Equity,USD,EL PASO ELECTRIC CO,0.0,4.4,  2 ,  1 ,21.0,  5.40 ,  10.60 ,Utilities,Electric Utilities,Utilities,3.0,25%,  9 ,  267 
DORM US Equity,USD,DORMAN PRODUCTS INC,0.1,-0.3,  3 ,  (0),37.7,  1.79 ,  1.31 ,Consumer Discretionary,Auto Components,Automobiles & Components,4.0,119%,  9 ,  79 
UE US Equity,USD,URBAN EDGE PROPERTIES,0.0,4.9,  2 ,  1 ,26.4,  (3.20),  2.63 ,Real Estate,Equity Real Estate Investment,Real Estate,3.0,15%,  9 ,  325 
AEE US Equity,USD,AMEREN CORPORATION,-0.7,3.6,  17 ,  8 ,19.4,  (8.57),  2.71 ,Utilities,Multi-Utilities,Utilities,13.0,24%,  9 ,  300 
CTXS US Equity,USD,CITRIX SYSTEMS INC,1.0,0.4,  15 ,  0 ,21.9,  2.25 ,  1.62 ,Information Technology,Software,Software & Services,23.0,54%,  9 ,  567 
PACW US Equity,USD,PACWEST BANCORP,0.6,#N/A N/A,  5 ,  1 ,31.9,  2.63 ,  1.27 ,Financials,Banks,Banks,12.0,5%,  9 ,  965 
ARI US Equity,USD,APOLLO COMMERCIAL REAL ESTAT,0.3,#N/A N/A,  2 ,  2 ,15.4,  0.93 ,  1.86 ,Financials,Mortgage Real Estate Investmen,Diversified Financials,9.0,8%,  9 ,  942 
SF US Equity,USD,STIFEL FINANCIAL CORP,-0.4,6.2,  4 ,  2 ,36.9,  1.04 ,  2.94 ,Financials,Capital Markets,Diversified Financials,4.0,14%,  9 ,  897 
PWR US Equity,USD,QUANTA SERVICES INC,0.1,1.3,  5 ,  1 ,34.0,  0.88 ,  0.76 ,Industrials,Construction & Engineering,Capital Goods,12.0,152%,  9 ,  671 
ES US Equity,USD,EVERSOURCE ENERGY,-0.8,4.9,  21 ,  13 ,18.1,  2.90 ,  2.97 ,Utilities,Electric Utilities,Utilities,19.0,24%,  9 ,  316 
TKC US Equity,TRY,TURKCELL ILETISIM HIZMET-ADR,1.1,1.6,  5 ,  2 ,53.1,  0.11 ,  0.20 ,Communication Services,Wireless Telecommunication Ser,Telecommunication Services,6.0,52%,  9 ,  19 
STL US Equity,USD,STERLING BANCORP/DE,0.3,#N/A N/A,  4 ,  5 ,42.5,  1.75 ,  2.07 ,Financials,Banks,Banks,11.0,5%,  9 ,  960 
ALB US Equity,USD,ALBEMARLE CORP,0.0,0.9,  11 ,  1 ,36.1,  1.29 ,  1.41 ,Materials,Chemicals,Materials,26.0,44%,  9 ,  458 
IIVI US Equity,USD,II-VI INC,0.0,1.2,  2 ,  0 ,104.8,  0.57 ,  0.38 ,Information Technology,"Electronic Equipment, Instrume",Technology Hardware & Equipmen,11.0,70%,  9 ,  515 
BXP US Equity,USD,BOSTON PROPERTIES INC,0.0,6.9,  19 ,  10 ,21.7,  (22.98),  2.55 ,Real Estate,Equity Real Estate Investment,Real Estate,25.0,14%,  9 ,  391 
WWW US Equity,USD,WOLVERINE WORLD WIDE INC,0.1,2.8,  3 ,  0 ,46.7,  1.62 ,  2.11 ,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",Consumer Durables & Apparel,14.0,95%,  9 ,  128 
AMGN US Equity,USD,AMGEN INC,10.4,0.4,  123 ,  (6),30.5,  7.53 ,  2.40 ,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology",27.0,32%,  9 ,  880 
CVX US Equity,USD,CHEVRON CORP,14.3,0.9,  223 ,  34 ,29.1,  0.73 ,  (4.26),Energy,"Oil, Gas & Consumable Fuels",Energy,28.0,60%,  9 ,"  1,088 "
TDS US Equity,USD,TELEPHONE AND DATA SYSTEMS,0.2,1.3,  4 ,  2 ,54.7,  0.40 ,  (0.83),Communication Services,Wireless Telecommunication Ser,Telecommunication Services,5.0,54%,  10 ,  17 
HWC US Equity,USD,HANCOCK WHITNEY CORP,-0.6,#N/A N/A,  3 ,  2 ,30.2,  1.72 ,  1.68 ,Financials,Banks,Banks,10.0,5%,  10 ,  951 
SIGI US Equity,USD,SELECTIVE INSURANCE GROUP,0.3,#N/A N/A,  4 ,  0 ,32.1,  0.89 ,  3.01 ,Financials,Insurance,Insurance,6.0,33%,  10 ,  912 
ENSG US Equity,USD,ENSIGN GROUP INC/THE,0.1,1.2,  2 ,  0 ,57.4,  1.42 ,  1.25 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,7.0,180%,  10 ,  782 
CMC US Equity,USD,COMMERCIAL METALS CO,0.0,1.5,  2 ,  1 ,49.2,  2.41 ,  (0.71),Materials,Metals & Mining,Materials,13.0,152%,  10 ,  427 
SKX US Equity,USD,SKECHERS USA INC-CL A,0.3,-1.6,  4 ,  (1),56.5,  1.50 ,  1.14 ,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",Consumer Durables & Apparel,13.0,159%,  10 ,  121 
KWR US Equity,USD,QUAKER CHEMICAL CORP,0.1,-0.5,  3 ,  (0),45.3,  1.29 ,  1.54 ,Materials,Chemicals,Materials,5.0,116%,  10 ,  402 
GIII US Equity,USD,G-III APPAREL GROUP LTD,0.1,1.8,  2 ,  0 ,49.1,  0.84 ,  0.54 ,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",Consumer Durables & Apparel,10.0,139%,  10 ,  104 
CFG US Equity,USD,CITIZENS FINANCIAL GROUP,1.3,#N/A N/A,  17 ,  11 ,29.9,  0.91 ,  0.98 ,Financials,Banks,Banks,22.0,5%,  10 ,"  1,023 "
FFBC US Equity,USD,FIRST FINANCIAL BANCORP,0.2,#N/A N/A,  3 ,  1 ,38.8,  1.42 ,  2.65 ,Financials,Banks,Banks,9.0,5%,  10 ,  940 
PNW US Equity,USD,PINNACLE WEST CAPITAL,0.0,3.5,  10 ,  5 ,21.2,  2.64 ,  4.07 ,Utilities,Electric Utilities,Utilities,16.0,21%,  10 ,  303 
MDSO US Equity,USD,MEDIDATA SOLUTIONS INC,0.0,-1.4,  4 ,  (0),39.1,  3.08 ,  1.27 ,Health Care,Health Care Technology,Health Care Equipment & Servic,11.0,68%,  10 ,  802 
VAR US Equity,USD,VARIAN MEDICAL SYSTEMS INC,0.4,-1.1,  11 ,  (1),39.1,  2.41 ,  17.49 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,10.0,91%,  10 ,  794 
ENIC US Equity,CLP,ENEL CHILE SA-ADR,0.6,2.6,  6 ,  1 ,32.8,  0.93 ,  1.26 ,Utilities,Electric Utilities,Utilities,6.0,39%,  10 ,  276 
MANT US Equity,USD,MANTECH INTERNATIONAL CORP-A,0.1,-0.1,  2 ,  0 ,39.5,  2.28 ,  3.20 ,Information Technology,IT Services,Software & Services,8.0,111%,  10 ,  494 
IFF US Equity,USD,INTL FLAVORS & FRAGRANCES,0.2,-1.2,  15 ,  1 ,25.6,  (64.99),  1.39 ,Materials,Chemicals,Materials,15.0,51%,  10 ,  434 
NWE US Equity,USD,NORTHWESTERN CORP,0.0,4.5,  3 ,  2 ,22.6,  23.39 ,  10.25 ,Utilities,Multi-Utilities,Utilities,6.0,22%,  10 ,  282 
EPR US Equity,USD,EPR PROPERTIES,0.0,5.3,  5 ,  3 ,19.5,  (5.52),  4.65 ,Real Estate,Equity Real Estate Investment,Real Estate,11.0,11%,  10 ,  341 
WUBA US Equity,CNY,58.COM INC-ADR,#N/A N/A,#N/A N/A,  10 ,  (1),71.9,  0.52 ,  0.54 ,Communication Services,Interactive Media & Services,Media & Entertainment,12.0,41%,  10 ,  31 
RBC US Equity,USD,REGAL BELOIT CORP,0.2,2.3,  3 ,  1 ,33.7,  1.09 ,  1.35 ,Industrials,Electrical Equipment,Capital Goods,10.0,79%,  10 ,  656 
LFUS US Equity,USD,LITTELFUSE INC,0.3,0.6,  5 ,  0 ,41.8,  2.02 ,  1.68 ,Information Technology,"Electronic Equipment, Instrume",Technology Hardware & Equipmen,8.0,74%,  10 ,  491 
EXPE US Equity,USD,EXPEDIA GROUP INC,1.2,0.2,  18 ,  1 ,28.8,  1.01 ,  1.12 ,Consumer Discretionary,Internet & Direct Marketing Re,Retailing,35.0,58%,  10 ,  200 
TOT US Equity,USD,TOTAL SA-SPON ADR,5.5,0.9,  153 ,  13 ,25.8,  0.64 ,  4.26 ,Energy,"Oil, Gas & Consumable Fuels",Energy,9.0,72%,  10 ,"  1,051 "
TMO US Equity,USD,THERMO FISHER SCIENTIFIC INC,3.9,3.0,  96 ,  20 ,28.9,  1.78 ,  1.48 ,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",18.0,43%,  10 ,  842 
MRK US Equity,USD,MERCK & CO. INC.,8.9,1.1,  195 ,  16 ,22.3,  1.72 ,  1.23 ,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology",20.0,47%,  10 ,  855 
KEYS US Equity,USD,KEYSIGHT TECHNOLOGIES IN,0.3,1.8,  11 ,  1 ,33.8,  0.99 ,  1.14 ,Information Technology,"Electronic Equipment, Instrume",Technology Hardware & Equipmen,9.0,63%,  10 ,  497 
SO US Equity,USD,SOUTHERN CO/THE,-1.6,5.7,  48 ,  49 ,18.8,  (52.58),  4.92 ,Utilities,Electric Utilities,Utilities,22.0,21%,  10 ,  322 
COG US Equity,USD,CABOT OIL & GAS CORP,0.1,1.9,  11 ,  1 ,46.6,  0.31 ,  1.84 ,Energy,"Oil, Gas & Consumable Fuels",Energy,30.0,41%,  10 ,"  1,093 "
ED US Equity,USD,CONSOLIDATED EDISON INC,-1.3,4.5,  25 ,  16 ,21.7,  13.49 ,  3.42 ,Utilities,Multi-Utilities,Utilities,18.0,25%,  10 ,  314 
CTL US Equity,USD,CENTURYLINK INC,3.2,4.5,  20 ,  37 ,52.2,  1.34 ,  2.48 ,Communication Services,Diversified Telecommunication,Telecommunication Services,19.0,37%,  10 ,  48 
GT US Equity,USD,GOODYEAR TIRE & RUBBER CO,0.5,2.8,  5 ,  5 ,40.7,  0.58 ,  0.30 ,Consumer Discretionary,Auto Components,Automobiles & Components,10.0,88%,  10 ,  98 
KIM US Equity,USD,KIMCO REALTY CORP,0.1,6.9,  7 ,  5 ,29.8,  (0.73),  1.35 ,Real Estate,Equity Real Estate Investment,Real Estate,23.0,10%,  10 ,  388 
BMY US Equity,USD,BRISTOL-MYERS SQUIBB CO,3.7,-0.3,  87 ,  (1),41.2,  2.32 ,  2.02 ,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology",21.0,65%,  10 ,  861 
SKT US Equity,USD,TANGER FACTORY OUTLET CENTER,0.2,7.2,  2 ,  2 ,25.5,  1.60 ,  33.21 ,Real Estate,Equity Real Estate Investment,Real Estate,8.0,20%,  10 ,  334 
SXT US Equity,USD,SENSIENT TECHNOLOGIES CORP,0.0,2.8,  3 ,  1 ,56.1,  4.08 ,  1.08 ,Materials,Chemicals,Materials,3.0,78%,  10 ,  394 
CB US Equity,USD,CHUBB LTD,5.0,#N/A N/A,  60 ,  12 ,24.9,  1.05 ,  1.68 ,Financials,Insurance,Insurance,21.0,20%,  10 ,"  1,020 "
IRDM US Equity,USD,IRIDIUM COMMUNICATIONS INC,-0.3,6.8,  2 ,  1 ,64.3,#VALUE!,#VALUE!,Communication Services,Diversified Telecommunication,Telecommunication Services,7.0,13%,  10 ,  25 
WAFD US Equity,USD,WASHINGTON FEDERAL INC,0.2,#N/A N/A,  2 ,  2 ,28.7,  1.70 ,#VALUE!,Financials,Thrifts & Mortgage Finance,Banks,5.0,4%,  10 ,  905 
MET US Equity,USD,METLIFE INC,12.5,#N/A N/A,  44 ,  8 ,34.6,  2.01 ,  0.88 ,Financials,Insurance,Insurance,19.0,9%,  10 ,"  1,012 "
TEX US Equity,USD,TEREX CORP,0.1,2.3,  2 ,  0 ,65.9,  0.29 ,  1.01 ,Industrials,Machinery,Capital Goods,23.0,143%,  10 ,  743 
CBD US Equity,BRL,CIA BRASILEIRA DE DIS-SP PRF,0.2,1.4,  6 ,  0 ,37.6,  1.14 ,  0.92 ,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,4.0,107%,  10 ,  212 
STE US Equity,USD,STERIS PLC,0.3,1.8,  10 ,  1 ,26.7,  2.12 ,  2.58 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,9.0,53%,  10 ,  790 
CNC US Equity,USD,CENTENE CORP,1.7,-0.6,  28 ,  (0),43.1,  0.87 ,  1.16 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,21.0,212%,  10 ,  858 
IDA US Equity,USD,IDACORP INC,0.2,3.4,  5 ,  2 ,20.6,  98.47 ,  5.59 ,Utilities,Electric Utilities,Utilities,4.0,22%,  10 ,  270 
JCI US Equity,USD,JOHNSON CONTROLS INTERNATION,1.5,2.6,  31 ,  11 ,34.3,  0.94 ,  111.63 ,Industrials,Building Products,Capital Goods,18.0,62%,  10 ,  717 
DHR US Equity,USD,DANAHER CORP,3.0,2.1,  71 ,  10 ,27.9,  3.06 ,  2.55 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,20.0,42%,  10 ,  849 
SFNC US Equity,USD,SIMMONS FIRST NATL CORP-CL A,0.1,#N/A N/A,  3 ,  1 ,32.9,  2.94 ,  0.90 ,Financials,Banks,Banks,6.0,6%,  10 ,  914 
ENS US Equity,USD,ENERSYS,0.2,0.2,  4 ,  0 ,38.5,  0.75 ,  3.74 ,Industrials,Electrical Equipment,Capital Goods,4.0,108%,  10 ,  619 
RYN US Equity,USD,RAYONIER INC,0.3,2.2,  4 ,  1 ,24.1,  (4.80),  23.78 ,Real Estate,Equity Real Estate Investment,Real Estate,8.0,31%,  10 ,  333 
SR US Equity,USD,SPIRE INC,0.0,5.1,  4 ,  3 ,18.5,  4.15 ,  4.85 ,Utilities,Gas Utilities,Utilities,9.0,31%,  10 ,  289 
MSA US Equity,USD,MSA SAFETY INC,0.2,1.9,  4 ,  0 ,47.0,  2.12 ,  3.93 ,Industrials,Commercial Services & Supplies,Commercial & Professional Serv,3.0,83%,  10 ,  609 
XEL US Equity,USD,XCEL ENERGY INC,-0.6,4.3,  26 ,  16 ,20.7,  3.53 ,  2.73 ,Utilities,Electric Utilities,Utilities,17.0,26%,  10 ,  308 
MS US Equity,USD,MORGAN STANLEY,14.3,4.8,  76 ,  124 ,33.7,  1.73 ,  1.11 ,Financials,Capital Markets,Diversified Financials,29.0,6%,  10 ,"  1,039 "
HP US Equity,USD,HELMERICH & PAYNE,0.1,0.3,  7 ,  (0),41.3,  0.21 ,  0.95 ,Energy,Energy Equipment & Services,Energy,27.0,36%,  10 ,"  1,083 "
KEY US Equity,USD,KEYCORP,1.4,#N/A N/A,  19 ,  10 ,32.8,  0.88 ,  1.06 ,Financials,Banks,Banks,28.0,5%,  10 ,"  1,032 "
ZION US Equity,USD,ZIONS BANCORP NA,0.8,#N/A N/A,  9 ,  4 ,30.0,  1.83 ,  0.95 ,Financials,Banks,Banks,28.0,4%,  11 ,"  1,031 "
TRV US Equity,USD,TRAVELERS COS INC/THE,4.0,#N/A N/A,  33 ,  6 ,24.9,  0.73 ,  2.67 ,Financials,Insurance,Insurance,24.0,29%,  11 ,"  1,025 "
HELE US Equity,USD,HELEN OF TROY LTD,#N/A N/A,1.9,  4 ,  0 ,22.3,  4.19 ,  2.27 ,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,5.0,91%,  11 ,  82 
AEP US Equity,USD,AMERICAN ELECTRIC POWER,-1.6,4.6,  38 ,  22 ,20.0,  3.88 ,  2.84 ,Utilities,Electric Utilities,Utilities,21.0,25%,  11 ,  321 
IBKR US Equity,USD,INTERACTIVE BROKERS GRO-CL A,2.5,-1.2,  23 ,  0 ,45.7,  1.00 ,  1.24 ,Financials,Capital Markets,Diversified Financials,5.0,4%,  11 ,  901 
ARW US Equity,USD,ARROW ELECTRONICS INC,0.0,2.4,  6 ,  3 ,36.9,  2.39 ,  13.98 ,Information Technology,"Electronic Equipment, Instrume",Technology Hardware & Equipmen,10.0,184%,  11 ,  503 
VVC US Equity,USD,VECTREN CORP,-0.2,4.3,  6 ,  2 ,3.1,  3.97 ,  2.89 ,Utilities,Multi-Utilities,Utilities,5.0,43%,  11 ,  273 
TER US Equity,USD,TERADYNE INC,0.3,-1.7,  7 ,  (2),51.0,  1.83 ,  0.47 ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,14.0,69%,  11 ,  540 
THG US Equity,USD,HANOVER INSURANCE GROUP INC/,1.2,#N/A N/A,  5 ,  0 ,22.7,  1.01 ,  1.01 ,Financials,Insurance,Insurance,4.0,33%,  11 ,  894 
MBFI US Equity,USD,MB FINANCIAL INC,0.8,#N/A N/A,  4 ,  1 ,25.4,  0.56 ,  2.19 ,Financials,Banks,Banks,10.0,5%,  11 ,  946 
HAS US Equity,USD,HASBRO INC,0.6,1.1,  12 ,  0 ,29.7,  1.21 ,  1.77 ,Consumer Discretionary,Leisure Products,Consumer Durables & Apparel,17.0,87%,  11 ,  133 
SBS US Equity,BRL,CIA SANEAMENTO BASICO DE-ADR,1.2,1.8,  5 ,  3 ,43.1,  0.25 ,  0.85 ,Utilities,Water Utilities,Utilities,5.0,38%,  11 ,  274 
DRE US Equity,USD,DUKE REALTY CORP,-1.1,5.5,  10 ,  2 ,23.2,  (1.60),  4.84 ,Real Estate,Equity Real Estate Investment,Real Estate,18.0,12%,  11 ,  368 
JLL US Equity,USD,JONES LANG LASALLE INC,0.3,1.5,  6 ,  0 ,29.3,  7.28 ,  1.23 ,Real Estate,Real Estate Management & Devel,Real Estate,11.0,163%,  11 ,  346 
KEX US Equity,USD,KIRBY CORP,-0.4,4.0,  5 ,  1 ,51.3,  0.64 ,  0.68 ,Industrials,Marine,Transportation,9.0,54%,  11 ,  651 
WTS US Equity,USD,WATTS WATER TECHNOLOGIES-A,0.1,1.0,  3 ,  0 ,32.4,  1.80 ,  2.37 ,Industrials,Machinery,Capital Goods,10.0,92%,  11 ,  661 
GBCI US Equity,USD,GLACIER BANCORP INC,#N/A N/A,#N/A N/A,  4 ,  1 ,30.4,  1.73 ,  4.10 ,Financials,Banks,Banks,7.0,5%,  11 ,  923 
FRT US Equity,USD,FEDERAL REALTY INVS TRUST,0.1,5.5,  9 ,  3 ,21.3,  13.16 ,  38.22 ,Real Estate,Equity Real Estate Investment,Real Estate,18.0,14%,  11 ,  369 
RDS/B US Equity,USD,ROYAL DUTCH SHELL-SPON ADR-B,13.8,1.2,  258 ,  65 ,23.0,  0.44 ,  2.85 ,Energy,"Oil, Gas & Consumable Fuels",Energy,5.0,91%,  11 ,"  1,046 "
RDS/A US Equity,USD,ROYAL DUTCH SHELL-SPON ADR-A,13.8,1.2,  258 ,  65 ,22.9,  0.43 ,  2.75 ,Energy,"Oil, Gas & Consumable Fuels",Energy,13.0,91%,  11 ,"  1,055 "
ATI US Equity,USD,ALLEGHENY TECHNOLOGIES INC,0.1,2.7,  3 ,  1 ,37.8,  0.33 ,  0.36 ,Materials,Metals & Mining,Materials,11.0,75%,  11 ,  417 
EGP US Equity,USD,EASTGROUP PROPERTIES INC,-0.1,5.5,  4 ,  1 ,23.2,  (4.24),  10.58 ,Real Estate,Equity Real Estate Investment,Real Estate,13.0,15%,  11 ,  352 
MTB US Equity,USD,M & T BANK CORP,2.2,#N/A N/A,  24 ,  2 ,24.1,  1.14 ,  1.41 ,Financials,Banks,Banks,23.0,5%,  11 ,"  1,024 "
WAB US Equity,USD,WABTEC CORP,0.1,6.0,  8 ,  2 ,38.8,  1.19 ,  1.33 ,Industrials,Machinery,Capital Goods,12.0,58%,  11 ,  673 
RF US Equity,USD,REGIONS FINANCIAL CORP,1.4,#N/A N/A,  17 ,  5 ,31.7,  1.14 ,  1.11 ,Financials,Banks,Banks,29.0,5%,  11 ,"  1,035 "
BBT US Equity,USD,BB&T CORP,4.7,#N/A N/A,  40 ,  26 ,24.2,  1.32 ,  1.52 ,Financials,Banks,Banks,29.0,6%,  11 ,"  1,037 "
BXS US Equity,USD,BANCORPSOUTH BANK,#N/A N/A,#N/A N/A,  3 ,  1 ,32.2,  2.97 ,  2.35 ,Financials,Banks,Banks,10.0,6%,  11 ,  949 
WTFC US Equity,USD,WINTRUST FINANCIAL CORP,#N/A N/A,#N/A N/A,  4 ,  (0),33.2,  1.45 ,  1.36 ,Financials,Banks,Banks,13.0,5%,  11 ,  976 
LEN US Equity,USD,LENNAR CORP-A,1.3,5.4,  13 ,  4 ,43.1,  0.58 ,  2.65 ,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,19.0,79%,  11 ,  144 
HOMB US Equity,USD,HOME BANCSHARES INC,#N/A N/A,#N/A N/A,  3 ,  1 ,32.6,  1.99 ,  1.44 ,Financials,Banks,Banks,9.0,5%,  11 ,  941 
MNRO US Equity,USD,MONRO INC,0.1,2.2,  3 ,  0 ,48.9,  2.34 ,  2.35 ,Consumer Discretionary,Specialty Retail,Retailing,8.0,95%,  11 ,  91 
UNF US Equity,USD,UNIFIRST CORP/MA,0.1,-1.0,  3 ,  (0),30.7,  6.32 ,#VALUE!,Industrials,Commercial Services & Supplies,Commercial & Professional Serv,4.0,93%,  11 ,  616 
SBNY US Equity,USD,SIGNATURE BANK,0.3,#N/A N/A,  6 ,  5 ,33.9,  1.04 ,  1.36 ,Financials,Banks,Banks,19.0,4%,  11 ,"  1,011 "
CIB US Equity,COP,BANCOLOMBIA S.A.-SPONS ADR,#N/A N/A,#N/A N/A,  10 ,  7 ,36.1,  0.48 ,  0.67 ,Financials,Banks,Banks,15.0,10%,  11 ,  991 
FUL US Equity,USD,H.B. FULLER CO.,0.1,6.5,  2 ,  2 ,36.3,  0.53 ,  0.56 ,Materials,Chemicals,Materials,8.0,90%,  11 ,  412 
SWX US Equity,USD,SOUTHWEST GAS HOLDINGS INC,-0.3,3.5,  4 ,  2 ,21.8,  3.99 ,  4.36 ,Utilities,Gas Utilities,Utilities,8.0,45%,  11 ,  287 
FL US Equity,USD,FOOT LOCKER INC,0.8,-1.1,  6 ,  (1),30.5,  1.29 ,  2.03 ,Consumer Discretionary,Specialty Retail,Retailing,23.0,203%,  11 ,  161 
BUD US Equity,USD,ANHEUSER-BUSCH INBEV-SPN ADR,9.2,5.0,  156 ,  105 ,37.7,  0.77 ,  1.22 ,Consumer Staples,Beverages,"Food, Beverage & Tobacco",10.0,23%,  11 ,  225 
FHN US Equity,USD,FIRST HORIZON NATIONAL CORP,0.1,#N/A N/A,  5 ,  3 ,30.1,  1.27 ,  0.90 ,Financials,Banks,Banks,18.0,6%,  11 ,"  1,007 "
CATY US Equity,USD,CATHAY GENERAL BANCORP,#N/A N/A,#N/A N/A,  3 ,  0 ,31.2,  2.50 ,  1.89 ,Financials,Banks,Banks,8.0,4%,  11 ,  930 
AIZ US Equity,USD,ASSURANT INC,1.0,#N/A N/A,  6 ,  0 ,28.8,  0.29 ,  0.63 ,Financials,Insurance,Insurance,5.0,20%,  11 ,  900 
UGP US Equity,BRL,ULTRAPAR PARTICPAC-SPON ADR,0.2,3.2,  6 ,  2 ,70.8,  0.37 ,  0.88 ,Energy,"Oil, Gas & Consumable Fuels",Energy,6.0,318%,  11 ,"  1,049 "
CHL US Equity,CNY,CHINA MOBILE LTD-SPON ADR,#N/A N/A,-1.7,  200 ,  (72),25.2,  2.22 ,  1.43 ,Communication Services,Wireless Telecommunication Ser,Telecommunication Services,3.0,47%,  11 ,  8 
MLCO US Equity,USD,MELCO RESORTS & ENTERT-ADR,#N/A N/A,2.5,  8 ,  2 ,65.5,  0.45 ,  0.43 ,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,18.0,58%,  11 ,  140 
CLH US Equity,USD,CLEAN HARBORS INC,0.1,3.0,  4 ,  1 ,35.7,  1.31 ,  1.53 ,Industrials,Commercial Services & Supplies,Commercial & Professional Serv,10.0,85%,  11 ,  653 
GOOG US Equity,USD,ALPHABET INC-CL C,22.9,-3.0,  743 ,  (98),40.0,  4.74 ,  0.68 ,Communication Services,Interactive Media & Services,Media & Entertainment,14.0,63%,  11 ,  37 
GOOGL US Equity,USD,ALPHABET INC-CL A,22.9,-3.0,  743 ,  (98),39.5,  4.77 ,  0.69 ,Communication Services,Interactive Media & Services,Media & Entertainment,44.0,63%,  11 ,  70 
SBRA US Equity,USD,SABRA HEALTH CARE REIT INC,0.3,6.0,  3 ,  3 ,33.9,  (0.54),  (1.77),Real Estate,Equity Real Estate Investment,Real Estate,13.0,10%,  12 ,  353 
WST US Equity,USD,WEST PHARMACEUTICAL SERVICES,0.2,-0.3,  8 ,  (0),35.4,  3.99 ,  2.12 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,7.0,88%,  12 ,  778 
